team,map_mode,map_delay,command_delay,degraded_autonomous,degraded_crowd_vector,degraded_stale_hold,operational_score_autonomous,operational_score_crowd_vector,operational_score_stale_hold,safe_delivery_autonomous,safe_delivery_crowd_vector,safe_delivery_stale_hold,operational_score_crowd_minus_auto,safe_delivery_crowd_minus_auto,degraded_crowd_minus_auto
balanced_hetero,delayed,0,0,0.75,0.125,0.25,73.23832834844107,80.33610325432186,78.46315653118042,0.5,0.875,0.875,7.097774905880783,0.375,-0.625
balanced_hetero,delayed,0,6,0.8333333333333334,0.20833333333333334,0.20833333333333334,74.10672067160029,77.71246577912223,78.4929902167921,0.4166666666666667,0.8333333333333334,0.875,3.6057451075219404,0.4166666666666667,-0.625
balanced_hetero,delayed,0,12,0.625,0.5416666666666666,0.5,74.11889593797977,76.66424307383774,78.32141701445462,0.5833333333333334,0.5833333333333334,0.75,2.5453471358579662,0.0,-0.08333333333333337
balanced_hetero,delayed,12,0,0.7916666666666666,0.4166666666666667,0.2916666666666667,72.15817972431107,75.57983939453317,78.25901407273649,0.4583333333333333,0.5833333333333334,0.8333333333333334,3.4216596702220983,0.12500000000000006,-0.37499999999999994
balanced_hetero,delayed,12,6,0.7083333333333334,0.5833333333333334,0.6666666666666666,73.05901762402254,75.17213002847123,75.71349633774004,0.5,0.5,0.5,2.1131124044486853,0.0,-0.125
balanced_hetero,delayed,12,12,0.9166666666666666,0.5416666666666666,0.625,72.13192663014031,76.84950463761963,75.82861391056441,0.25,0.5416666666666666,0.5833333333333334,4.717578007479318,0.29166666666666663,-0.375
balanced_hetero,delayed,24,0,0.875,0.4583333333333333,0.5,71.27940666331297,76.501741630138,79.56967288532961,0.25,0.5833333333333334,0.5416666666666666,5.222334966825031,0.33333333333333337,-0.4166666666666667
balanced_hetero,delayed,24,6,0.875,0.8333333333333334,0.4583333333333333,72.33216282211202,76.21489220373881,74.41447544722472,0.3333333333333333,0.375,0.5416666666666666,3.8827293816267883,0.041666666666666685,-0.04166666666666663
balanced_hetero,delayed,24,12,0.9166666666666666,0.5416666666666666,0.6666666666666666,74.0204516240184,78.04584635851033,76.42112273398529,0.3333333333333333,0.5,0.4166666666666667,4.025394734491925,0.16666666666666669,-0.375
balanced_hetero,delayed,36,0,0.9166666666666666,0.5416666666666666,0.625,69.88442978720688,75.61395940708614,74.93193521748726,0.16666666666666666,0.4583333333333333,0.4166666666666667,5.7295296198792585,0.29166666666666663,-0.375
balanced_hetero,delayed,36,6,0.9166666666666666,0.625,0.6666666666666666,71.8780018980997,75.98332711812564,74.20082375924954,0.4166666666666667,0.4166666666666667,0.3333333333333333,4.1053252200259465,0.0,-0.29166666666666663
balanced_hetero,delayed,36,12,0.9166666666666666,0.625,0.5833333333333334,71.91971852583204,75.4367794907874,75.68463120381413,0.16666666666666666,0.4166666666666667,0.4166666666666667,3.5170609649553626,0.25,-0.29166666666666663
balanced_hetero,scout_belief,0,0,0.3333333333333333,0.20833333333333334,0.2916666666666667,76.16938979424145,77.53488043859097,79.95402149276472,0.7916666666666666,0.9166666666666666,0.75,1.3654906443495207,0.125,-0.12499999999999997
balanced_hetero,scout_belief,0,6,0.5416666666666666,0.2916666666666667,0.375,74.84717020689236,78.75870084192321,78.49520404186967,0.5,0.75,0.875,3.911530635030857,0.25,-0.24999999999999994
balanced_hetero,scout_belief,0,12,0.4166666666666667,0.6666666666666666,0.3333333333333333,77.51664604714323,76.07173923500238,76.56670704795515,0.75,0.625,0.7083333333333334,-1.444906812140843,-0.125,0.24999999999999994
balanced_hetero,scout_belief,12,0,0.625,0.4583333333333333,0.4583333333333333,75.0098741273947,77.07583213664418,78.76248663071021,0.5833333333333334,0.8333333333333334,0.6666666666666666,2.065958009249485,0.25,-0.16666666666666669
balanced_hetero,scout_belief,12,6,0.6666666666666666,0.4583333333333333,0.375,75.76580305037376,78.19173127194361,78.23001102152459,0.4583333333333333,0.6666666666666666,0.6666666666666666,2.4259282215698477,0.20833333333333331,-0.20833333333333331
balanced_hetero,scout_belief,12,12,0.6666666666666666,0.6666666666666666,0.5416666666666666,72.99490888344731,76.87793369586784,76.26884649639963,0.4166666666666667,0.5,0.625,3.8830248124205298,0.08333333333333331,0.0
balanced_hetero,scout_belief,24,0,0.9166666666666666,0.4166666666666667,0.4583333333333333,73.47020725231478,77.39999369534281,77.44825956395809,0.25,0.5833333333333334,0.625,3.9297864430280356,0.33333333333333337,-0.49999999999999994
balanced_hetero,scout_belief,24,6,0.5,0.4583333333333333,0.5416666666666666,74.47821532338266,77.20054489050817,75.4746151150516,0.5,0.625,0.6666666666666666,2.722329567125513,0.125,-0.041666666666666685
balanced_hetero,scout_belief,24,12,0.75,0.625,0.7083333333333334,73.8461285277116,75.80350852945419,76.56473275793014,0.2916666666666667,0.4583333333333333,0.375,1.9573800017425924,0.16666666666666663,-0.125
balanced_hetero,scout_belief,36,0,0.7083333333333334,0.75,0.7083333333333334,75.52550228336254,77.08431509310725,75.46526344226324,0.4166666666666667,0.3333333333333333,0.3333333333333333,1.5588128097447083,-0.08333333333333337,0.04166666666666663
balanced_hetero,scout_belief,36,6,0.7083333333333334,0.75,0.7083333333333334,72.3152923638958,77.23467368743493,75.78382319096322,0.4166666666666667,0.2916666666666667,0.3333333333333333,4.919381323539142,-0.125,0.04166666666666663
balanced_hetero,scout_belief,36,12,0.6666666666666666,0.875,0.7916666666666666,74.0841026201704,74.31022081326336,74.10676378929942,0.4583333333333333,0.20833333333333334,0.25,0.2261181930929581,-0.24999999999999997,0.20833333333333337
no_relay_hetero,delayed,0,0,0.75,0.041666666666666664,0.08333333333333333,71.9013694098921,79.27232910049041,78.61951288375396,0.625,0.9583333333333334,0.9166666666666666,7.370959690598312,0.33333333333333337,-0.7083333333333334
no_relay_hetero,delayed,0,6,0.7083333333333334,0.25,0.2916666666666667,75.33836182937009,76.22456149360472,77.5218767082969,0.75,0.8333333333333334,0.7916666666666666,0.8861996642346384,0.08333333333333337,-0.45833333333333337
no_relay_hetero,delayed,0,12,0.8333333333333334,0.25,0.25,73.65829849250359,77.79420209761692,77.10426946415843,0.5,0.75,0.9166666666666666,4.135903605113327,0.25,-0.5833333333333334
no_relay_hetero,delayed,12,0,0.7083333333333334,0.375,0.125,74.1053837822001,76.68425996440918,78.82874980988282,0.6666666666666666,0.6666666666666666,0.875,2.578876182209086,0.0,-0.33333333333333337
no_relay_hetero,delayed,12,6,0.875,0.4583333333333333,0.5416666666666666,73.44594775454514,77.25157042506028,76.00048167558343,0.6666666666666666,0.5416666666666666,0.7083333333333334,3.8056226705151346,-0.125,-0.4166666666666667
no_relay_hetero,delayed,12,12,0.9583333333333334,0.5416666666666666,0.3333333333333333,71.80483287421205,79.23940706321221,76.90821739248256,0.375,0.6666666666666666,0.75,7.434574189000159,0.29166666666666663,-0.41666666666666674
no_relay_hetero,delayed,24,0,0.9583333333333334,0.5833333333333334,0.5,71.95397741298011,77.0301327685042,77.7214140493018,0.5833333333333334,0.6666666666666666,0.625,5.076155355524094,0.08333333333333326,-0.375
no_relay_hetero,delayed,24,6,1.0,0.5,0.6666666666666666,74.29554032832198,77.05290914529188,74.3288226683183,0.5,0.6666666666666666,0.5,2.757368816969901,0.16666666666666663,-0.5
no_relay_hetero,delayed,24,12,0.875,0.5833333333333334,0.4166666666666667,71.87667239127177,75.86688404769286,75.77893179708306,0.4166666666666667,0.5416666666666666,0.7083333333333334,3.9902116564210957,0.12499999999999994,-0.29166666666666663
no_relay_hetero,delayed,36,0,0.9166666666666666,0.625,0.5416666666666666,72.62585049965871,74.92512929961184,76.96449803246328,0.4583333333333333,0.5833333333333334,0.5416666666666666,2.299278799953129,0.12500000000000006,-0.29166666666666663
no_relay_hetero,delayed,36,6,1.0,0.7916666666666666,0.8333333333333334,69.86365621278397,74.81881222926387,73.46317374074756,0.2916666666666667,0.20833333333333334,0.20833333333333334,4.955156016479904,-0.08333333333333334,-0.20833333333333337
no_relay_hetero,delayed,36,12,0.9166666666666666,0.5833333333333334,0.7916666666666666,72.45101356568269,74.51509502599497,74.11340079757997,0.4583333333333333,0.5416666666666666,0.375,2.0640814603122806,0.08333333333333331,-0.33333333333333326
no_relay_hetero,scout_belief,0,0,0.8333333333333334,0.20833333333333334,0.25,73.6569038729616,78.07034101859526,78.599025705111,0.3333333333333333,0.9166666666666666,0.875,4.413437145633651,0.5833333333333333,-0.625
no_relay_hetero,scout_belief,0,6,0.7083333333333334,0.4166666666666667,0.3333333333333333,74.42393879547491,77.19862089467152,78.38033920185289,0.5416666666666666,0.875,0.8333333333333334,2.7746820991966104,0.33333333333333337,-0.2916666666666667
no_relay_hetero,scout_belief,0,12,0.5,0.3333333333333333,0.20833333333333334,75.02128151129897,76.60413228220558,78.91840395672487,0.7083333333333334,0.75,0.875,1.5828507709066173,0.04166666666666663,-0.16666666666666669
no_relay_hetero,scout_belief,12,0,0.5833333333333334,0.4166666666666667,0.375,75.64865918056017,75.16590979413598,78.22806691099672,0.625,0.7083333333333334,0.7916666666666666,-0.48274938642418874,0.08333333333333337,-0.16666666666666669
no_relay_hetero,scout_belief,12,6,0.5,0.3333333333333333,0.5416666666666666,75.08584860081201,77.20946528369304,75.69818512564858,0.625,0.75,0.625,2.1236166828810212,0.125,-0.16666666666666669
no_relay_hetero,scout_belief,12,12,0.7916666666666666,0.20833333333333334,0.4583333333333333,73.33420864064233,79.30446753935928,76.10131986381099,0.375,0.7916666666666666,0.5833333333333334,5.970258898716949,0.41666666666666663,-0.5833333333333333
no_relay_hetero,scout_belief,24,0,0.75,0.3333333333333333,0.4583333333333333,74.81288513780048,76.88966200971463,76.81658125566977,0.4583333333333333,0.7916666666666666,0.6666666666666666,2.0767768719141486,0.3333333333333333,-0.4166666666666667
no_relay_hetero,scout_belief,24,6,0.7916666666666666,0.5416666666666666,0.3333333333333333,73.36971668236482,75.67249355047403,77.99787909673023,0.375,0.5416666666666666,0.7916666666666666,2.3027768681092056,0.16666666666666663,-0.25
no_relay_hetero,scout_belief,24,12,0.8333333333333334,0.625,0.5833333333333334,71.36184148317427,74.36387904242221,77.68644557093707,0.2916666666666667,0.4583333333333333,0.5416666666666666,3.0020375592479382,0.16666666666666663,-0.20833333333333337
no_relay_hetero,scout_belief,36,0,0.7083333333333334,0.625,0.5416666666666666,77.50840195287641,74.90400526417964,76.44393341599344,0.5833333333333334,0.4166666666666667,0.5833333333333334,-2.6043966886967667,-0.16666666666666669,-0.08333333333333337
no_relay_hetero,scout_belief,36,6,0.9166666666666666,0.5416666666666666,0.7916666666666666,71.64126657346226,77.07751239616738,76.74962781216061,0.375,0.625,0.4166666666666667,5.436245822705118,0.25,-0.375
no_relay_hetero,scout_belief,36,12,0.8333333333333334,0.75,0.5833333333333334,72.76560823276071,74.88123341535257,74.8159751949913,0.3333333333333333,0.3333333333333333,0.4583333333333333,2.115625182591856,0.0,-0.08333333333333337
relay_rich,delayed,0,0,0.5833333333333334,0.375,0.20833333333333334,74.43323490516799,78.01105135248314,77.94782037950368,0.5833333333333334,0.75,0.9583333333333334,3.5778164473151435,0.16666666666666663,-0.20833333333333337
relay_rich,delayed,0,6,0.7083333333333334,0.3333333333333333,0.375,70.59251405607506,76.44622244752051,78.50679406641224,0.5833333333333334,0.7916666666666666,0.7083333333333334,5.853708391445451,0.20833333333333326,-0.37500000000000006
relay_rich,delayed,0,12,0.75,0.25,0.5,72.81970246182492,78.77785484505111,74.94048215990458,0.5416666666666666,0.9166666666666666,0.75,5.958152383226192,0.375,-0.5
relay_rich,delayed,12,0,0.7916666666666666,0.5,0.5416666666666666,74.0769922448856,77.70762767140747,79.04349716377669,0.4583333333333333,0.6666666666666666,0.7083333333333334,3.630635426521863,0.20833333333333331,-0.29166666666666663
relay_rich,delayed,12,6,0.8333333333333334,0.4166666666666667,0.75,71.47098513092318,76.48167374633802,75.52207801439717,0.25,0.625,0.4583333333333333,5.010688615414836,0.375,-0.4166666666666667
relay_rich,delayed,12,12,0.75,0.4583333333333333,0.4166666666666667,72.77222092857416,76.11624863875348,75.86538167656754,0.5,0.6666666666666666,0.625,3.3440277101793185,0.16666666666666663,-0.2916666666666667
relay_rich,delayed,24,0,0.8333333333333334,0.75,0.5833333333333334,72.35162211602842,73.89730973147347,77.69269067423933,0.20833333333333334,0.2916666666666667,0.5,1.545687615445047,0.08333333333333334,-0.08333333333333337
relay_rich,delayed,24,6,0.9166666666666666,0.7916666666666666,0.8333333333333334,73.95792145933784,74.45299224343596,75.16871222604117,0.20833333333333334,0.25,0.25,0.4950707840981181,0.04166666666666666,-0.125
relay_rich,delayed,24,12,0.7916666666666666,0.75,0.75,72.21583338224913,75.08911688744134,74.66642881992504,0.4166666666666667,0.3333333333333333,0.3333333333333333,2.873283505192205,-0.08333333333333337,-0.04166666666666663
relay_rich,delayed,36,0,0.8333333333333334,0.75,0.7083333333333334,71.10718264811238,75.00974678219684,73.54118196216878,0.25,0.2916666666666667,0.375,3.9025641340844572,0.041666666666666685,-0.08333333333333337
relay_rich,delayed,36,6,0.9583333333333334,0.75,0.6666666666666666,71.62746037359125,74.03470119147754,74.44950253055772,0.375,0.2916666666666667,0.375,2.40724081788629,-0.08333333333333331,-0.20833333333333337
relay_rich,delayed,36,12,0.8333333333333334,0.8333333333333334,0.8333333333333334,73.31080229718022,72.31315101308671,74.7984012774206,0.25,0.20833333333333334,0.2916666666666667,-0.9976512840935072,-0.04166666666666666,0.0
relay_rich,scout_belief,0,0,0.6666666666666666,0.4583333333333333,0.375,73.03617657096778,78.35214683844711,79.16752735895419,0.5,0.7916666666666666,0.8333333333333334,5.315970267479329,0.29166666666666663,-0.20833333333333331
relay_rich,scout_belief,0,6,0.5833333333333334,0.4583333333333333,0.5416666666666666,72.95872931222702,76.25961223638221,76.32294863740397,0.5833333333333334,0.6666666666666666,0.7083333333333334,3.3008829241551894,0.08333333333333326,-0.12500000000000006
relay_rich,scout_belief,0,12,0.625,0.5833333333333334,0.375,74.8796122047247,76.14433712483718,78.48919824932318,0.4583333333333333,0.5833333333333334,0.75,1.264724920112485,0.12500000000000006,-0.04166666666666663
relay_rich,scout_belief,12,0,0.875,0.5,0.5,71.17418155531557,76.08248450647936,75.77763784038646,0.3333333333333333,0.625,0.6666666666666666,4.90830295116379,0.2916666666666667,-0.375
relay_rich,scout_belief,12,6,0.75,0.5,0.625,74.77477761641724,75.95193775311918,75.53995105785432,0.5833333333333334,0.625,0.5,1.1771601367019429,0.04166666666666663,-0.25
relay_rich,scout_belief,12,12,0.5833333333333334,0.625,0.5416666666666666,75.22284445423462,75.85371927120978,76.71252087220769,0.5833333333333334,0.5416666666666666,0.5,0.6308748169751652,-0.04166666666666674,0.04166666666666663
relay_rich,scout_belief,24,0,0.75,0.5,0.5416666666666666,73.22024925732,76.05777272060438,76.94985790679435,0.3333333333333333,0.5833333333333334,0.5,2.83752346328437,0.25000000000000006,-0.25
relay_rich,scout_belief,24,6,0.7916666666666666,0.5416666666666666,0.75,73.48227717965825,74.98043279699148,74.40033231483868,0.2916666666666667,0.5833333333333334,0.375,1.498155617333225,0.2916666666666667,-0.25
relay_rich,scout_belief,24,12,0.7916666666666666,0.75,0.75,72.28252935516932,75.44748932735611,74.2945218506868,0.375,0.2916666666666667,0.2916666666666667,3.164959972186793,-0.08333333333333331,-0.04166666666666663
relay_rich,scout_belief,36,0,0.625,0.6666666666666666,0.75,73.64808363003942,73.21288118149842,75.32754298348233,0.4166666666666667,0.375,0.4166666666666667,-0.43520244854100554,-0.041666666666666685,0.04166666666666663
relay_rich,scout_belief,36,6,0.5833333333333334,0.6666666666666666,0.875,73.18226047135089,74.2977159429151,74.0837285760782,0.5,0.5,0.25,1.1154554715642178,0.0,0.08333333333333326
relay_rich,scout_belief,36,12,0.875,0.9166666666666666,0.8333333333333334,71.5499138227879,73.26978449075881,71.9734872889289,0.2916666666666667,0.16666666666666666,0.25,1.719870667970909,-0.12500000000000003,0.04166666666666663
