stress,team,map_mode,command_mode,n,safe_delivery,operational_score,degraded,attrition,exposure,effective_delay
degraded,balanced_hetero,delayed,autonomous,24,0.125,76.21074296474164,0.875,0.03472222222222222,0.1880770105502484,4.0
degraded,balanced_hetero,delayed,consensus_gated,24,0.0,72.91095224367803,1.0,0.024305555555555552,0.19965561469622584,4.0
degraded,balanced_hetero,delayed,crowd_vector,24,0.0,75.35360154101907,1.0,0.041666666666666664,0.20335830581513561,4.0
degraded,balanced_hetero,delayed,stale_hold,24,0.0,71.42101401796022,1.0,0.048611111111111105,0.2231825693928243,4.0
degraded,balanced_hetero,no_shared,autonomous,24,0.0,71.15954995155668,1.0,0.05555555555555555,0.23339759211668945,4.0
degraded,balanced_hetero,no_shared,consensus_gated,24,0.0,67.06897081548097,1.0,0.07291666666666667,0.22364381414748968,4.0
degraded,balanced_hetero,no_shared,crowd_vector,24,0.0,68.82984050525897,1.0,0.05902777777777777,0.21548040693526668,4.0
degraded,balanced_hetero,no_shared,stale_hold,24,0.0,71.1172140253319,1.0,0.06597222222222222,0.21777195170948818,4.0
degraded,balanced_hetero,scout_belief,autonomous,24,0.16666666666666666,75.70005913937663,0.8333333333333334,0.027777777777777776,0.1882181899714491,4.0
degraded,balanced_hetero,scout_belief,consensus_gated,24,0.041666666666666664,73.2032036203495,0.9583333333333334,0.052083333333333336,0.2006372369382036,4.0
degraded,balanced_hetero,scout_belief,crowd_vector,24,0.041666666666666664,70.77872062898855,0.9583333333333334,0.07291666666666667,0.21712765244477014,4.0
degraded,balanced_hetero,scout_belief,stale_hold,24,0.0,71.46166780234579,1.0,0.04513888888888889,0.21782796735828783,4.0
degraded,no_relay_hetero,delayed,autonomous,24,0.125,74.40606144830782,0.875,0.03472222222222222,0.19783322810561424,6.0
degraded,no_relay_hetero,delayed,consensus_gated,24,0.0,74.52861295991453,1.0,0.020833333333333332,0.1937102844459708,6.0
degraded,no_relay_hetero,delayed,crowd_vector,24,0.0,73.5257219874773,1.0,0.024305555555555552,0.20023512323949277,6.0
degraded,no_relay_hetero,delayed,stale_hold,24,0.0,72.11775851783597,1.0,0.04513888888888889,0.21394637045656917,6.0
degraded,no_relay_hetero,no_shared,autonomous,24,0.0,69.74119509676724,1.0,0.06597222222222222,0.21850601764953015,6.0
degraded,no_relay_hetero,no_shared,consensus_gated,24,0.0,66.72820308001583,1.0,0.10069444444444443,0.2230955122550787,6.0
degraded,no_relay_hetero,no_shared,crowd_vector,24,0.0,70.86633183283016,1.0,0.08680555555555554,0.21574922952949194,6.0
degraded,no_relay_hetero,no_shared,stale_hold,24,0.0,69.79070116857137,1.0,0.06944444444444443,0.22084149442163767,6.0
degraded,no_relay_hetero,scout_belief,autonomous,24,0.125,75.57921914467687,0.875,0.048611111111111105,0.19409628511489718,6.0
degraded,no_relay_hetero,scout_belief,consensus_gated,24,0.041666666666666664,74.48982255296113,0.9583333333333334,0.027777777777777776,0.19730475599870992,6.0
degraded,no_relay_hetero,scout_belief,crowd_vector,24,0.041666666666666664,70.06019267175206,0.9583333333333334,0.06597222222222222,0.2185321023650689,6.0
degraded,no_relay_hetero,scout_belief,stale_hold,24,0.0,70.09034018380143,1.0,0.07638888888888888,0.2196180801771714,6.0
degraded,relay_rich,delayed,autonomous,24,0.041666666666666664,75.08995610711413,0.9583333333333334,0.03819444444444444,0.19120118062693034,2.0
degraded,relay_rich,delayed,consensus_gated,24,0.0,73.90515248160311,1.0,0.041666666666666664,0.19497247552692842,2.0
degraded,relay_rich,delayed,crowd_vector,24,0.0,69.76681132451297,1.0,0.0625,0.23089317085522745,2.0
degraded,relay_rich,delayed,stale_hold,24,0.0,72.0934537283792,1.0,0.03125,0.22359582973823977,2.0
degraded,relay_rich,no_shared,autonomous,24,0.0,70.3137891456639,1.0,0.05902777777777777,0.23146057525810113,2.0
degraded,relay_rich,no_shared,consensus_gated,24,0.0,70.3441580288049,1.0,0.09375,0.21193816560009152,2.0
degraded,relay_rich,no_shared,crowd_vector,24,0.0,72.04137536204733,1.0,0.04513888888888889,0.21745268711545204,2.0
degraded,relay_rich,no_shared,stale_hold,24,0.0,69.48347362305685,1.0,0.09722222222222222,0.22851197123143985,2.0
degraded,relay_rich,scout_belief,autonomous,24,0.08333333333333333,75.7396188968124,0.9166666666666666,0.027777777777777776,0.1841139482712071,2.0
degraded,relay_rich,scout_belief,consensus_gated,24,0.08333333333333333,73.02159069257468,0.9166666666666666,0.048611111111111105,0.19859758683894435,2.0
degraded,relay_rich,scout_belief,crowd_vector,24,0.0,70.68183117453128,1.0,0.06597222222222222,0.22033510069785947,2.0
degraded,relay_rich,scout_belief,stale_hold,24,0.0,71.76066351151344,1.0,0.06597222222222222,0.2116151357071013,2.0
degraded,relay_sparse,delayed,autonomous,24,0.20833333333333334,76.2124889119994,0.7916666666666666,0.03125,0.1854664678412805,5.0
degraded,relay_sparse,delayed,consensus_gated,24,0.041666666666666664,73.9884410417584,0.9583333333333334,0.041666666666666664,0.19489887028606032,5.0
degraded,relay_sparse,delayed,crowd_vector,24,0.0,72.28222725265547,1.0,0.06597222222222222,0.21367626847731094,5.0
degraded,relay_sparse,delayed,stale_hold,24,0.041666666666666664,72.25279633683242,0.9583333333333334,0.04513888888888889,0.22910891861676574,5.0
degraded,relay_sparse,no_shared,autonomous,24,0.0,71.76871296648615,1.0,0.04861111111111111,0.21709539662094582,5.0
degraded,relay_sparse,no_shared,consensus_gated,24,0.0,69.0057705559794,1.0,0.05902777777777777,0.22688957646061556,5.0
degraded,relay_sparse,no_shared,crowd_vector,24,0.0,67.35582143605626,1.0,0.0798611111111111,0.2176983403939423,5.0
degraded,relay_sparse,no_shared,stale_hold,24,0.0,70.99326973483113,1.0,0.0625,0.21558491803315308,5.0
degraded,relay_sparse,scout_belief,autonomous,24,0.125,75.23665376248353,0.875,0.04513888888888889,0.18577900027311178,5.0
degraded,relay_sparse,scout_belief,consensus_gated,24,0.0,74.34296927859725,1.0,0.03472222222222222,0.19672773113616024,5.0
degraded,relay_sparse,scout_belief,crowd_vector,24,0.0,72.11064291681394,1.0,0.07638888888888888,0.20631132695939194,5.0
degraded,relay_sparse,scout_belief,stale_hold,24,0.0,71.26560382845369,1.0,0.05555555555555555,0.23028971617742874,5.0
severe,balanced_hetero,delayed,autonomous,24,0.2916666666666667,76.37600606719944,0.7083333333333334,0.03125,0.1892429472127085,8.0
severe,balanced_hetero,delayed,consensus_gated,24,0.041666666666666664,71.46884428569821,0.9583333333333334,0.05555555555555555,0.1971089314061829,8.0
severe,balanced_hetero,delayed,crowd_vector,24,0.08333333333333333,75.32149851381301,0.9166666666666666,0.03125,0.20457641542794247,8.0
severe,balanced_hetero,delayed,stale_hold,24,0.08333333333333333,73.71357414642232,0.9166666666666666,0.06597222222222222,0.20961959754194828,8.0
severe,balanced_hetero,no_shared,autonomous,24,0.0,69.61258578506421,1.0,0.07291666666666667,0.21752046110227288,8.0
severe,balanced_hetero,no_shared,consensus_gated,24,0.0,67.70687626729075,1.0,0.08680555555555554,0.22046634547063637,8.0
severe,balanced_hetero,no_shared,crowd_vector,24,0.0,68.28722190994704,1.0,0.10763888888888888,0.23357016289180085,8.0
severe,balanced_hetero,no_shared,stale_hold,24,0.125,67.3489695114257,0.875,0.11458333333333333,0.21193873642133054,8.0
severe,balanced_hetero,scout_belief,autonomous,24,0.125,72.6324410576274,0.875,0.05902777777777777,0.19175700492332012,8.0
severe,balanced_hetero,scout_belief,consensus_gated,24,0.041666666666666664,73.65028877304992,0.9583333333333334,0.05902777777777777,0.1911406766717275,8.0
severe,balanced_hetero,scout_belief,crowd_vector,24,0.0,71.90447276352762,1.0,0.07291666666666667,0.20493364411567805,8.0
severe,balanced_hetero,scout_belief,stale_hold,24,0.0,70.10395846571667,1.0,0.08333333333333333,0.2026091792914805,8.0
severe,no_relay_hetero,delayed,autonomous,24,0.20833333333333334,73.74425593304235,0.7916666666666666,0.024305555555555552,0.19422459643376747,12.0
severe,no_relay_hetero,delayed,consensus_gated,24,0.125,74.95388251068304,0.875,0.04513888888888889,0.19187015357907258,12.0
severe,no_relay_hetero,delayed,crowd_vector,24,0.08333333333333333,71.82776706671704,0.9166666666666666,0.05902777777777777,0.20330351604681698,12.0
severe,no_relay_hetero,delayed,stale_hold,24,0.0,70.41446017874343,1.0,0.06944444444444443,0.20978544261676804,12.0
severe,no_relay_hetero,no_shared,autonomous,24,0.0,71.1632601218364,1.0,0.0625,0.2230471487196052,12.0
severe,no_relay_hetero,no_shared,consensus_gated,24,0.0,70.18664962222809,1.0,0.048611111111111105,0.2210255294459954,12.0
severe,no_relay_hetero,no_shared,crowd_vector,24,0.125,71.99684579693267,0.875,0.06944444444444443,0.20446078392054792,12.0
severe,no_relay_hetero,no_shared,stale_hold,24,0.0,72.0485155972005,1.0,0.04513888888888889,0.21287250754657847,12.0
severe,no_relay_hetero,scout_belief,autonomous,24,0.041666666666666664,73.52259861006426,0.9583333333333334,0.05555555555555555,0.1972403025980587,12.0
severe,no_relay_hetero,scout_belief,consensus_gated,24,0.16666666666666666,74.1505413061195,0.8333333333333334,0.052083333333333336,0.19624529413675518,12.0
severe,no_relay_hetero,scout_belief,crowd_vector,24,0.0,72.8461507498128,1.0,0.052083333333333336,0.20619472867397792,12.0
severe,no_relay_hetero,scout_belief,stale_hold,24,0.0,70.2799686285249,1.0,0.0798611111111111,0.20134376045438204,12.0
severe,relay_rich,delayed,autonomous,24,0.041666666666666664,74.52678726115113,0.9583333333333334,0.0625,0.18540955287626948,5.0
severe,relay_rich,delayed,consensus_gated,24,0.0,70.42292178404033,1.0,0.06944444444444443,0.1929190554437243,5.0
severe,relay_rich,delayed,crowd_vector,24,0.08333333333333333,71.43424038757006,0.9166666666666666,0.06944444444444443,0.2189880055114725,5.0
severe,relay_rich,delayed,stale_hold,24,0.0,67.83532186108623,1.0,0.10416666666666667,0.21203624451922667,5.0
severe,relay_rich,no_shared,autonomous,24,0.0,67.54159735644018,1.0,0.13888888888888887,0.2082121962071628,5.0
severe,relay_rich,no_shared,consensus_gated,24,0.0,67.63996797955629,1.0,0.10416666666666667,0.2300902450283555,5.0
severe,relay_rich,no_shared,crowd_vector,24,0.0,71.86663285986792,1.0,0.08680555555555554,0.2228171734324391,5.0
severe,relay_rich,no_shared,stale_hold,24,0.041666666666666664,70.76253118136215,0.9583333333333334,0.09027777777777778,0.2165507975070118,5.0
severe,relay_rich,scout_belief,autonomous,24,0.08333333333333333,73.17729286394375,0.9166666666666666,0.06944444444444443,0.19599080203275046,5.0
severe,relay_rich,scout_belief,consensus_gated,24,0.041666666666666664,74.49652688981126,0.9583333333333334,0.052083333333333336,0.18857888490416397,5.0
severe,relay_rich,scout_belief,crowd_vector,24,0.0,71.54463638574376,1.0,0.07291666666666667,0.21922273699101189,5.0
severe,relay_rich,scout_belief,stale_hold,24,0.0,73.75524063274752,1.0,0.0625,0.21166890170163766,5.0
severe,relay_sparse,delayed,autonomous,24,0.20833333333333334,74.8861188270619,0.7916666666666666,0.052083333333333336,0.18998002094532304,10.0
severe,relay_sparse,delayed,consensus_gated,24,0.16666666666666666,74.76261543254488,0.8333333333333334,0.041666666666666664,0.19481440695852395,10.0
severe,relay_sparse,delayed,crowd_vector,24,0.041666666666666664,75.11031210768608,0.9583333333333334,0.013888888888888888,0.21221159648053575,10.0
severe,relay_sparse,delayed,stale_hold,24,0.0,70.0064444333549,1.0,0.06944444444444443,0.2161487730739228,10.0
severe,relay_sparse,no_shared,autonomous,24,0.041666666666666664,69.30677658860516,0.9583333333333334,0.09722222222222221,0.22521568985695695,10.0
severe,relay_sparse,no_shared,consensus_gated,24,0.0,69.66937727998567,1.0,0.07291666666666667,0.22452937738933965,10.0
severe,relay_sparse,no_shared,crowd_vector,24,0.125,71.09991509359297,0.875,0.0625,0.21149743194536966,10.0
severe,relay_sparse,no_shared,stale_hold,24,0.041666666666666664,69.49435998265258,0.9583333333333334,0.06597222222222222,0.22581668287660753,10.0
severe,relay_sparse,scout_belief,autonomous,24,0.125,74.53519104257073,0.875,0.048611111111111105,0.1853834932874275,10.0
severe,relay_sparse,scout_belief,consensus_gated,24,0.08333333333333333,74.16464375665305,0.9166666666666666,0.027777777777777776,0.19763036942484632,10.0
severe,relay_sparse,scout_belief,crowd_vector,24,0.125,74.21219491415351,0.875,0.05555555555555555,0.20480352334760965,10.0
severe,relay_sparse,scout_belief,stale_hold,24,0.0,73.15212030724767,1.0,0.04513888888888889,0.21361859930192692,10.0
